,Business_Name,Business_Address,Business_ReviewCount,Business_Rating,Business_Photos_Count,Business_Timings,Business_Claim_status,Customer_Name,Customer_Friends_count,Customer_Reviews_count,Customer_Photos_count,Customer_Elite,Customer_Elite_Year,Customer_Rating,Customer_Review,Customer_Review_Date,Customer_Review_Uploaded_Photos,Customer_Review_Useful,Customer_Review_Funny,Customer_Review_Cool,Business_response_By,Business_response_Date,Business_Response_for_Review,Business_Response
2,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Barb T.,0,1,0,No,0,1,Tore up my bookcase cabinet replacing outside faucet!,10/13/2019,0,0,0,0,,,,0
3,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Byron K.,82,4,0,No,0,4,"We have a old house that had some gas leaks, so we called Hull Plumbing to come out and repair the gas line. On the original call out, the tech quoted us on replacing the whole gas system through the attic instead of the crawl space. The figure seemed very high. I found some trouble issues under the house and pinpointed them out, and they came back and replaced those areas of pipe for about half the amount. However, we reviewed the detailed bill and felt we had been overcharged on some items. We called and spoke with a manager to discuss, and the mgr was very rude. He argued with me over little details. We left a poor review, as we felt they wasted an opportunity to make an unsatisfied customer happy over a small amount of money.This is when things turned around. Rich Hull contacted us in response, and apologized for the behavior of the manager. He offered a credit, and had a technician come out to tie up some loose ends free of charge.Techs for all jobs were on time, professional, and friendly. They took the time to update us on work being done.",10/16/2015,0,2,0,1,,,,0
4,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,John M.,0,29,29,No,0,5,"I am a DIYer and have been for a long time. I've also been happily married for a long time and wanted to keep the marriage that way. My wife wanted certified professionals doing this particular job, so I swallowed my Tim-the-toolman-Taylor grunts and called this company. This company was exceedingly responsive and the plumbers were 100% professional. I knew what the cost of this job would be (minus the labor but was curious to find out about that rate), and their final charge was VERY reasonable. There's a chance a person not in the know would think it was a decent price for the work, but I'm here to tell you it was an exceptional price.Quick response, quality supplies, professionals doing the work, and fair pricing. If you can't do the work yourself, or if your significant other wants a certified professional, this company is a great option!",6/11/2015,0,2,1,1,,,,0
5,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Alan H.,65,380,459,No,0,5,"They came out to the house because I had one bedroom that was getting soaked in the carpet and I thought there wS a leak in the wall.  Come to find out the new fridge I had was leaking water on the floor every time the ice maker would fill and the water was traveling to the adjacent bed room.  Hull Plumbing found it and suggested I don't break the seal on the back of the fridge to get at the leak because the company could claim I had damaged the fridge. This information was exactly correct. They only charged me $98 for the service call and the hour of diagnosing/finding the leak. I had visions of them having to dig up the foundation to fix a leak below the slab, but thank goodness I put in a claim with Samsung and they're paying for two rooms of carpet, plus the plumbers cost. Other than waiting forever for Samsung to pay the claim, it's a happy ending and much much cheaper than it could have been! I'll call Hull Plumbing next time. Very efficient, kind, professional, and knowledgeable.",11/4/2017,ROTD,5,2,5,,,,0
6,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Lynn N.,0,2,0,No,0,1,"I made an appointment for plumbing service for the following week. I was told the plumber would call me 30 minutes before arrival.  Come Tuesday of the following week after waiting 8 hours, i called at 4:00 PM and Jennifer apologized and told me they were short-handed and running behind, but I was on the schedule and they would still be out that day.  Well, nobody ever showed up or called to let me know otherwise.  A business concerned about good customer service would have at the least, called early in the day to reschedule if possible, and surely would have been in communication with the customer.  I cancelled two service calls and won't use them again.",3/21/2018,0,1,0,0,,,,0
7,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Mary F.,186,2,0,No,0,1,Terrible. Charged $100 for a problem they said they could not fix on weekends even though they were told on the phone beforehand. Manager was terrible.,3/18/2018,0,0,0,0,,,,0
8,Hull Plumbing,"2600 W Main StOklahoma City, OK 73107",9,3.5,,8:00 AM - 5:00 PM,,Ben W.,0,1,0,No,0,4,Problem fixed.  I had a difficult situation with a tenant that put both myself and Hull in an awkward situation.  These guys fixed my plumbing problem quickly and worked with me to create a win win situation for everyone.,1/18/2015,First,2,0,0,,,,0
0,Route 66 Plumbing,"2312 SW 45th StOklahoma City, OK 73119",3,5,,8:00 AM - 6:00 PM,,Veronica F.,511,339,1853,Yes,'2021,5,One man show that charges the going rate of $125 for the hour.,9/17/2019,0,2,1,1,,,,0
1,Route 66 Plumbing,"2312 SW 45th StOklahoma City, OK 73119",3,5,,8:00 AM - 6:00 PM,,Mike S.,0,3,0,No,0,5,"The guy's name is Mike, and he's one of the best plumbers you could ever ask for.  He doesn't try to rush you off the phone, he wants to make sure that you and he are both on the same page of what you need to have done from him.  Any time that I've called him, he can be at my house either that day or the very next.  He's very professional and at the same time very down to earth and friendly.  He won't try and scam you, makes you pay for exactly what you needed him to do, and he's on his way out the door.  I can't recommend him enough, and any of my friends that have ever had a problem, I always mention his name.  His business is always at the top of the list in that area for my house.",8/4/2018,0,0,0,0,,,,0
2,Route 66 Plumbing,"2312 SW 45th StOklahoma City, OK 73119",3,5,,8:00 AM - 6:00 PM,,Anne C.,0,15,0,No,0,5,One of the nicest people I have ever spoken to! He was very knowledgable and didn't rush me off the phone when I was seeking understanding about a current plumbing issue that we are experiencing that I was extremely stressed about. When there's so many people out there that are rude on the spot I appreciated his patience! Will use Route 66 Plumbing for our plumbing related needs in the future.,5/23/2016,First,0,0,0,,,,0
0,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Maren H.,5,68,102,No,0,5,"We sought out Dave last minute when the line to our washer burst during the ice/snow storm. We called after hours, but he called back first thing the next morning and was very helpful and super friendly. He walked my husband through the problem and was able to give us some tips on what to do in the immediate time frame to avoid further flooding. He provided great service and was extremely willing to help. He happens to live down the street from us, so we feel fortunate to have a great neighbor! We'll definitely request him again for further plumbing needs.",2/20/2021,0,0,0,0,,,,0
1,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Sarah I.,0,3,0,No,0,1,"We'd like a refund on our $89.50 service call/fee. You're at the mercy if voicemail with this company. So, Yelp is the only place I know to reach out.    First time we called, the call went to an answering machine. We had an ice storm, assumed a lot of people were impacted. So, we agreed to the two week timeline, David gave us, before they could come visit.   David was professional, but not thorough enough. We ended up having the same issue we described to him, two days later. When he came, he turned on the ran water to appear thorough. He recognized the ""shower clogging"" and ""possible backup"". He talked about what he could do for us,  but didn't offer to unclog the shower or back yard piping.   Two days layer the issue became urgent with the backup problem David had described, ending with 3 inoperable  bathrooms.   I called the next morning at 8AM, left a message. I gave it an hour and half, understanding people get busy, and called again around 9:30, explaining the urgency on the message.    Then due to urgency and no returned call, had to call another plumbing company.   Liszeski Plumbing turned what could have been fixed in one day, into two weeks waiting and no fix. We are disappointed no phone call was returned.   We have our issue fixed, a new plumbing company to use, and still no call back from Liszeski Plumbing.  When someone comes into your home and spends time talking how they want to build a relationship and have your long term business, you feel like it's good customer care. When you find it was just talking, no action, and your money has been taken--especially with no returned call---you feel defrauded.    We understand paying for their time and why there are service fees. But with what the new plumber found today, there is no way this happened within a two day time frame. It definitely was symptoms from the first flooding we experienced two weeks ago, and then again today. Which means the two week waiting Liszeski Plumbing gave us, plus no onsite offer to do more discovery or options to fix, or even an offer to call back in check in---we ended up having a bigger issue than we would have had originally.    All of this could have been prevented with a call back. We would have been happy to pay David more money today to fix the issue, hoping he'd be honest enough to honor the $89.50 he already charged us. We're ~$400 out of pocket expense, PLUS the $89.50 from Liszeski Plumbing and wondering how much cheaper it would have been if they fixed it two weeks ago, or the day they came. We can't recommend this company.",3/18/2021,0,0,0,0,,,,0
2,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,T L.,0,1,0,No,0,5,"David was great! He called when he was on his way, even earlier than he said. YAY!! He did everything to make me comfortable to tell him my plumbing issue and to my relief he explained what was happening. He was not satisfied until I was satisfied and understood what was going on. David and his son were friendly and helpful.",3/16/2021,0,0,0,0,,,,0
3,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Wendy E.,182,82,43,Yes,'2021,5,We called Liszeski Plumbing after living in our house for 4 years with awful water pressure in our master bathroom. I hate to admit I have drug my feet getting it fixed for fear of the cost. Dave came highly recommended by several people in our neighborhood. Dave came over and did a brief test all of the plumbing in our house. I appreciate this as I would rather be preventative. He got to work quickly on the issue at hand and fixed a few other items that he discovered while testing our water pressure throughout our house. He was incredibly polite and made sure I was happy with his work before payment. The cost for this job was reasonable. For the first time in 4 years I have fantastic water pressure in my master bath. I would recommend Liszeski Plumbing to anyone having plumbing issues in their home.,11/14/2018,0,0,0,0,,,,0
4,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Ben A.,185,15,47,No,0,5,I had an issue with no running hot water in tub and water pressure in different areas. I called Liszeski Plumbing was impressed with the professionalism and punctuality of David. It is rare to meet a contractor like him. He is a firm believer of walking through the entire house and reviewing all areas from inside to out. He then educates/teaches owner of issues and resolution. He goes above and beyond for clients and is definitely building longterm relationships rather than a short term job and move on. I will be using him for any of my personal and business needs.,4/3/2019,0,0,0,0,,,,0
5,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,R S.,0,1,0,No,0,5,"David did a great job replacing our hot water heater. Quick response, great price, and best in class customer service. Will call him again for our next plumbing project.",8/31/2018,0,0,0,0,,,,0
6,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Mike K.,6,2,0,No,0,5,"Liszeski Plumbing is the only plumbing company you will ever want to call.  Not only is Dave a master of his trade, he is a smart businessman who knows how to take care of his customers.  He came out last week to fix/replace a defective part, with his typical quick response, and took care of me at no charge.  I like that he has relationships with his suppliers and can go directly to them and discuss issues.  Time and time again, Liszeski Plumbing has delivered as promised, exceeding expectations.  Hire them once, you will never look for another plumber again.",5/4/2017Updated review,0,0,0,0,,,,0
7,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Jennifer S.,119,1,0,No,0,5,"In our opinion, Liszeski Plumbing is the best in the OKC Metro area. He is reliable, honest and always goes the extra mile. One of his personal mottos is to give that extra one percent that no one else gives and he lives up to it every time.  When anyone ask me about a plumber I recommend Dave Liszeski of Liszeski Plumbing, the first time every time.",9/10/2017,0,0,0,0,,,,0
8,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Mark S.,0,14,0,No,0,1,I had this guy install a tankless hot water system in April of 2015.  He was a little tedious but I think he did an OK job.  Last summer it started giving me fault codes and I had to reset it a couple of times.  Since these units need yearly service anyway I called him for the annual maintenance and service on the code issue.  He shows up and looks at it.  He called the factory.  When he got off of the phone he told me that he really doesn't work on them and he gave me the case number the factory gave him and took off.  I'm so disappointed in him because now my unit is two years old and a year behind in service.  I'll call someone else but it should be easier to use the ppl that installed it for you.  I can't recommend this company,4/7/2017,0,0,0,0,,,,0
9,Liszeski Plumbing,"Yukon, OK 73099",10,4,,8:00 AM - 5:00 PM,,Lane A.,0,1,0,No,0,5,Excellent work. On-Time and Friendly.  He stayed late to get the job done.  I couldn't be happier! Call him you won't regret it!,10/14/2011,First,0,0,0,,,,0
0,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Ryan M.,0,4,0,No,0,5,"Dave came out to inspect our drain lines prior to purchasing a historic home.  Good news is that he was able to tell us that the old cast iron pipe had been replaced with PVC.  But equally importantly, he was able to tell us that there was a break in the line (completely filled with tree roots) where our line entered OKC's sewer line.  He was able to tell us exactly where the break was and how deep.  For a very reasonable price, Dave provided us valuable information prior to closing on our home.Dave is extremely personable, professional, and knowledge.  Beyond that, just seems like an all-around good guy.  I can't say enough good things about my experience.  Highly recommend!",10/2/2016,0,2,0,0,,,,0
1,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Kate W.,0,21,0,No,0,5,"Everyone should be calling Pipe Down for their plumbing and slab needs! We had a huge hot spot in our kitchen and Dave and his team not only found the leak and fixed it quickly and professionally, they were able to find several small other leaks that could have led to big hassles later. They completed the job quickly and for a very reasonable price. Highly recommended!",8/28/2020,0,0,0,0,,,,0
2,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Tim D.,29,12,0,No,0,5,"I have used Pipe Down twice in 2 years on 2 separate slab leaks.  They are prompt, found the leak location within inches, only created about a 10 inch hole on both occasions, had the leak fixed within hours, and left no dirt behind after completion.  The pricing was very reasonable considering what other companies had quoted for the same service.   I highly recommend them.",9/24/2019,0,0,0,0,,,,0
3,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,David D.,4,11,31,No,0,5,Dave responded to my message first thing the same morning. He started out by telling me he wanted to do some free troubleshooting and we ended there. Although we did not have to go any further then the troubleshooting step if I ever have to you can bet this will be the first company I call. Thanks Dave.,3/25/2017,0,1,0,0,,,,0
4,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Jason K.,0,13,0,No,0,4,"Let the jackhammering commence!We had a drain pipe leak under the slab in our kitchen/dining room.  I called Dave after receiving an estimate from our normal plumbing company and was very happy to hear his quote.  Pipe Down tends to be less expensive than other plumbing companies because pipe repair is all they do.  Plus, they are good at it.The crew showed up early on the scheduled repair day, and Dave was with them for the majority of the time.  The repair required a jackhammer, and we were happy to find out the only busted pipe was the ""Y"" joining the kitchen and laundry room drains.  The repair itself only took an hour, but they were there for an additional two hours flushing our drains that had clogged further down the line.  They filled the hole with rough concrete (they do not do finished concrete work, so don't expect to be able to immediately replace your flooring) and cleaned the mess they made during their work.Throughout the process, Dave was helpful and professional; he also referred us to a service that left dehumidifiers in our house because the leak had breached our air ducts.  Pipe Down is a good bunch of people and I recommend them to anyone.",9/16/2016,0,1,0,0,,,,0
5,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Jason S.,0,3,0,No,0,5,"I called Dave for a competitive quote for an under slab repair.  He was very friendly and gave a quick ballpark over the phone.  It was so much better than the quote I had in hand I asked when I might be able to have them come out.  He and his crew showed up 45 minutes later and an hour and a half later my leak was fixed!Outstanding response, very friendly and a great price.  Pipe Down absolutely earns a 5 star rating!",6/3/2016,0,1,0,0,,,,0
6,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Helen C.,25,281,477,Yes,'2021,5,"Wow!  Had the unfortunate luck of having a slab leak, but had the fortunate luck of calling Pipe Down - David (and one of his employees, Daniel) were phenomenal!!!  The first company that came out (Plumb Crazy) charged $250 for the leak detection that was more a radius of my living room and gave me the options of tearing out my fireplace surround or re-piping, which on a 2-story house would require extensive drywall-gutting of several walls.  They ended up quoting $2000 to start excavating a hole in the garage and then we would ""just have to see what they found"".  Almost in tears, hubby asked me to see if I could find a company that just specializes in slab leak repairs - a mere Google search later and I found Pipe Down.  Called David around 6-7pm and he said he would be out around 11am the next day.  Though he wasn't at the house at 11, kudos to David for calling and letting me know he would be late.  And now the WOW part - David used his fancy detection equipment to pinpoint the EXACT location of the leak - even showed us the leak on camera.  David quoted us $1250 (which included the leak detection service) and estimated maybe 2 tiles that he'd need to take out in the living room.  This was a far cry from the previous ""we're going to have to gut your house"" bid.  When I asked how soon he could start, David replied with 3-4 minutes?  :).  Not even one full tile (around 1/4 of a tile) later and the leak was repaired.  David is EXCEPTIONALLY professional, incredibly tidy, and did a fantastic job!  I was not at all uncomfortable having David and Daniel in my home - Really, I cannot say enough good things about this company!  The greatest part - Pipe Down only does slab leak detection and repairs - They are not a plumbing service company, so their price was (IMO) VERY reasonable.  Couple that with the timely and quality repair, I would HIGHLY recommend them!  Hopefully I won't have to use their services again, but if I do, I'll know who to call.",1/16/2013,3,5,4,1,,,,0
7,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Paulette C.,92,2,0,No,0,5,"After paying an estimate fee to a plumber and then having Slab Leak Specialist come out and rip me off, Dave was a saving grace.  Although him and his team was on another job, he was able to see me the same day!  He brought his tools and was able to give me a price based on his findings versus the other company who eyeballed my leak and said it would be $3,750 and $87 for the estimate.  Just a rip-off!  Dave's price was reasonable and he and his worker finished in record time. Please don't hesitate to call Pipe Down, they are honest, reliable and professional!",12/27/2017,0,0,0,0,,,,0
8,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Asa R.,1,2,0,No,0,5,"We suspected we had a slab leak based on a very high water bill. After checking online, I decided to give Dave a call.  So glad we did!  Called on a Tuesday afternoon and he was able to come out on a Thursday. He quoted us $250 for the locate, and then suggested it would be $1200-1500  if it was a typical leak. Very professional and kind, and showed up on time.  After using his equipment to diagnose the situation, he was able to locate the problem out in the front yard, and not under the house (great news).  He only charged us $250 for the locate, and then provided us with a local contact (Skylar, also A++) who gave us a great deal on replacing the outside line.  All in all a wonderful, stress-free experience.",1/23/2015,0,3,1,0,,,,0
9,Pipe Down Slab Leak Repair,"2916 Village CirEdmond, OK 73013",11,5,,7:00 AM - 5:00 PM,,Melisa T.,24,8,0,No,0,5,This is a 5 star company and I would not call anyone else for this type of work. Dave and Skylar were very professional and personable. Our foundation leak repair even ended up a little less than the initial quote! I called Pipe Down based on the Yelp reviews and I am very happy with the job they did for us!,1/23/2015,0,3,0,0,,,,0
0,Anderson Plumbing,"Bethany, OK 73008",5,4,,8:00 AM - 5:00 PM,Claimed,Neal G.,0,1,0,No,0,5,"More problems on the other side of the house, this time. Water in carpet walking into bedroom Mark and Eric fit me in later in the morning after I called. This house is built cheaply (early 80's contractor) They had multiple leaks to overcome, and their thinking out of the box was impressive. I thought for sure another jackhammer job, but they found alternatives These 2 are the hard working, honest guys you want when your house is leaking imho.And a shout out to Pat, who fit me in cheers",10/2/2020Updated review,0,0,0,0,,,,0
1,Anderson Plumbing,"Bethany, OK 73008",5,4,,8:00 AM - 5:00 PM,Claimed,Abbigail B.,0,5,0,No,0,5,"Very Satisfied. We have used Anderson Plumbing for several plumbing issues. Water heater replacement, new toilets, clogged drains. They always return our calls quickly and show up on time. We've been very please with all of their work.",1/23/2020,0,0,0,0,,,,0
2,Anderson Plumbing,"Bethany, OK 73008",5,4,,8:00 AM - 5:00 PM,Claimed,Cindy A.,0,6,0,No,0,5,"They are great and have worked on several items for us from a water leak to shower valve and faucet replacement. The best part is Pat and his crew are honest,  trustworthy and focused on providing quality customer care. Will continue to use them and refer them to other family & friends.",1/20/2020,0,0,0,0,,,,0
3,Anderson Plumbing,"Bethany, OK 73008",5,4,,8:00 AM - 5:00 PM,Claimed,Neil H.,152,4,0,No,0,1,Came out to replace a fill valve that was causing a leak.  They replaced it quickly but caused a new problem by not tightening it creating another leak that luckily my new plumber (Pipe Doctor) fixed.  They also promised to send an estimate on another project and never heard back from them.  One of the plumbers was condescending and he created the second problem with the fill valve replacement so not pleased with their service,6/15/2018,0,0,0,0,,,,0
4,Anderson Plumbing,"Bethany, OK 73008",5,4,,8:00 AM - 5:00 PM,Claimed,Derek S.,4,11,6,No,0,5,"Quick, professional service. Called at 1 for service. Craig was there within the hour and had my kitchen sink line cleared within 10 mins. Reasonable price, but fantastic and prompt service. Def will call them again.",11/2/2012,First,0,0,0,,,,0
0,B & D Mechanical,"2330 SW 27th StOklahoma City, OK 73108",1,5,,,,Angela A.,25,2,0,No,0,5,Benny and crew did amazing work. They had the best prices in town and was honest about every service I needed. They will be the only hvac place I use from here on. Thanks!!!,12/14/2020,First,0,0,0,,,,0
0,Bullseye Plumbing,"3609 W Park PlOklahoma City, OK 73107",1,5,,,,Susan W.,0,2,0,No,0,5,"Dennis is fantastic. After 6 slab leaks I'm very qualified to say that I'dGive him 10 stars if I couldHe's reasonably priced, prompt and finds the leak, and gets it fixed in very little time",11/12/2019,First,0,0,0,,,,0
0,Cherokee Plumbing,"13766 N Lincoln BlvdEdmond, OK 73013",9,4.5,,8:30 AM - 5:00 PM,,Keith L.,12,145,238,Yes,'2021,5,Amazing service!From scheduling the appointment to helping me with the product selection the process was easy.Installation was extremely well done and they cleaned up nicely after themselves.Another plus was they showed up on time which seems to be a rare now days. The hauled off the old fixtures so it was turn key for us.Very happy customers.,1/17/2021,1,2,0,0,,,,0
1,Cherokee Plumbing,"13766 N Lincoln BlvdEdmond, OK 73013",9,4.5,,8:30 AM - 5:00 PM,,Corey L.,30,41,3,No,0,5,"Collin did a great job explaining our options for repairs and the potential problems, associated costs, and warranties.  After the repairs he showed me the cause of our leak and waited to make sure there were no drips.",8/22/2020,0,0,0,1,,,,0
2,Cherokee Plumbing,"13766 N Lincoln BlvdEdmond, OK 73013",9,4.5,,8:30 AM - 5:00 PM,,Nick K.,14,12,0,No,0,5,Cherokee did a major plumbing job that was completed on time. The job included jack hammering the kitchen floor. They kept most of the dirt out of the text of the house. Would use them again.,1/4/2020,0,1,0,0,,,,0
3,Cherokee Plumbing,"13766 N Lincoln BlvdEdmond, OK 73013",9,4.5,,8:30 AM - 5:00 PM,,Brian B.,4,12,0,No,0,5,This company is a shining example of how to conduct a great service business.Showed up on time on two separate days and did extremely high end professional work. Explained what they will do prior and then immediately got to work doing exactly that!5 stars and keeper,5/10/2018,0,0,0,0,,,,0
4,Cherokee Plumbing,"13766 N Lincoln BlvdEdmond, OK 73013",9,4.5,,8:30 AM - 5:00 PM,,Stephanie F.,317,19,24,No,0,5,"I've used Cherokee Plumbing for all of my plumbing services since I bought my house in 2011. They're prompt, they're reasonable, and they've done a great job on every service - from replacing the hot water heater to replacing the sewer lines. Highly recommend.",4/30/2019,0,0,0,0,,,,0
